Allele,VWA,TH01,D21S11,FGA,D8S1179,D3S1358,D18S51,D16S539,D2S1338,D19S433,D1S1656,D2S441,D10S1248,D22S1045,D12S391,SE33
5,,0.000772499,,,,,,,,,,,,,,
6,,0.231653,,,,,,,,,,,,,,
6.3,,,,,,,,,,,,,,,,0.000165399
7,,0.16348,,,,,,,,,,,,,,
7.3,,,,,,,,,,,,,,,,0.000165399
8,,0.115295,,,0.0124565,,,0.0145809,,,,0.00106198,,,,0.000165399
8.3,,0.000482812,,,,,,,,,,,,,,
9,,0.177482,,,0.0114909,,0.000869397,0.110564,,,9.65437e-05,0.00125507,0.000193125,,,0.000165399
9.3,,0.29973,,,,,,,,,,,,,,
10,,0.0110081,,,0.0773465,,0.00888717,0.0569718,,0.000482812,0.00202742,0.188067,,0.000289687,,0.000165399
10.2,,,,,,,,,,9.65624e-05,,,,,,
10.3,,9.65624e-05,,,,,,,,,,0.000193087,,,,
11,9.66744e-05,,,,0.0846852,0.00144872,0.00917697,0.299826,,0.00395906,0.085055,0.335489,0.00299343,0.137215,,0.000496196
11.2,,,,,,,,,,,,,,,,0.000496196
11.3,,,,,,,,,,,,0.0608226,,,,
12,0.000193349,,,,0.138857,0.000772648,0.131569,0.30562,,0.0844921,0.129562,0.0377486,0.0283893,0.0128428,,0.00413497
12.1,,,,,,,,9.65624e-05,,0.00038625,,,,,,0.000165399
12.2,,,,,,,,9.65624e-05,,0.000869061,,,,,,0.000330797
12.3,,,,,,,,,,,,0.00183433,,,,0.000165399
13,0.00183681,,,,0.327153,0.00270427,0.132148,0.182213,,0.236095,0.068353,0.0310871,0.27163,0.00453843,,0.00793913
13.2,,,,,,,,,,0.0172847,,,,,,0.00198478
13.3,,,,,,,,,,,0.000193087,0.000482719,,,,
14,0.103345,,,,0.214465,0.109523,0.170788,0.0284859,9.66184e-05,0.348494,0.0843792,0.294941,0.313345,0.0475087,0.000386175,0.0292756
14.2,,,,,,,,,,0.0238509,,,,,,0.00198478
14.3,,,,,,,,,,,0.00222051,,,,,0.000330797
15,0.102958,,,,0.104577,0.256616,0.147508,0.00144844,0.00057971,0.160873,0.137768,0.0433481,0.205098,0.359212,0.0404518,0.0444922
15.2,,,,,,,,,,0.0401699,,,,,,0.000661594
15.3,,,,,,,,,,,0.0600502,9.65437e-05,,,,0.000330797
16,0.20872,,,0.000483092,0.0250097,0.250145,0.137268,,0.0449275,0.0517574,0.116818,0.00347557,0.140209,0.339417,0.0290597,0.0458154
16.1,,,,,,,,,,,,,,,,0.000330797
16.2,,,,,,,9.65997e-05,,,0.020954,,,,,,0.000330797
16.3,,,,,,,,,,,0.0535818,,,,0.000193087,0.00297717
